BIOMA	CAATINGA
1985	15798764.06
1986	15837652.59
1987	16259217.1
1988	17387311.63
1989	18061153.28
1990	18752740.21
1991	19542461.23
1992	20224995.32
1993	20585171.8
1994	20878113.86
1995	20839742.86
1996	21073686.84
1997	21397296.62
1998	21877364.16
1999	22368030.09
2000	22977073.44
2001	23000607.24
2002	23185408.09
2003	23269325.49
2004	23364962.72
2005	23442642.63
2006	23636654.89
2007	23670333.77
2008	23854554.39
2009	23536696.9
2010	23834248.95
2011	24030555.13
2012	24715992.72
2013	25331280.01
2014	26267473.55
2015	26292708.66
2016	26550793.91
2017	26754890.33
2018	27113821.77
2019	26984682.47
BIOMA	AMAZONIA
1985	10001890.59
1986	10012572.55
1987	10922546.39
1988	12597962.64
1989	13866974.74
1990	15015994.3
1991	15815326.84
1992	16923014.88
1993	18257537.6
1994	20011527.22
1995	22017910.13
1996	23749960.62
1997	25371375.06
1998	27154941.61
1999	28930019.92
2000	31038464.11
2001	32598119.08
2002	34613347.65
2003	36952108.46
2004	38855027.33
2005	40655566.61
2006	42435327.11
2007	43694979.32
2008	44693567.53
2009	45242552.47
2010	45656732.1
2011	45477856.28
2012	45254863.45
2013	45196917.49
2014	45308071.4
2015	45373574.47
2016	46050323.95
2017	46671067.6
2018	47169976.82
2019	47150682.01
BIOMA	CERRADO
1985	39417675.96
1986	39395391.27
1987	40962053.15
1988	43083988.45
1989	44729558.07
1990	46104065.88
1991	47291554.01
1992	48532202.24
1993	49573050.04
1994	50522152.35
1995	51483237.9
1996	52143552.12
1997	52646751.14
1998	53196175.22
1999	53750469.06
2000	54306789.92
2001	54361836.2
2002	54662423.18
2003	54652369.63
2004	54835046.74
2005	55162004
2006	55676788.88
2007	55752647.86
2008	55557170.23
2009	54890793.38
2010	54412738.77
2011	53840759.11
2012	53126554.23
2013	52576830.67
2014	52630830.44
2015	52791884.96
2016	52933589.34
2017	53218602.86
2018	53131236.76
2019	53324044.37
BIOMA	PAMPA
1985	9844866.856
1986	9851768.395
1987	10014729.2
1988	10036794.23
1989	10023008.72
1990	9920609.86
1991	9842825.418
1992	9736003.558
1993	9738964.499
1994	9857306.883
1995	9939317.75
1996	9872587.037
1997	9801492.881
1998	9622405.722
1999	9415082.211
2000	9300439.392
2001	9238045.907
2002	9085007.483
2003	8910449.801
2004	8744095.03
2005	8651483.992
2006	8525179.9
2007	8426395.171
2008	8212305.357
2009	8033089.071
2010	7794158.74
2011	7582923.222
2012	7257060.243
2013	7032596.104
2014	6894719.142
2015	6771416.461
2016	6731773.781
2017	6685647.912
2018	6701223.737
2019	6684336.953
BIOMA	PANTANAL
1985	3388342.62
1986	3403764.713
1987	3528496.283
1988	3615639.081
1989	3632203.301
1990	3596128.343
1991	3488151.546
1992	3358877.095
1993	3343882.768
1994	3373593.483
1995	3383874.398
1996	3401919.512
1997	3497215.42
1998	3486488.328
1999	3515939.515
2000	3626912.124
2001	3585916.065
2002	3616332.739
2003	3773047.143
2004	3927852.715
2005	4030234.436
2006	4145359.065
2007	4267715.857
2008	4352965.265
2009	4276641.781
2010	4164628.601
2011	4151141.47
2012	4066045.793
2013	3985605.581
2014	3971222.363
2015	4011625.215
2016	3989242.11
2017	3986918.492
2018	4101044.291
2019	4164552.583
BIOMA	MATA_ATLANTICA
1985	42911661.15
1986	42811111.82
1987	43055950.03
1988	43828023.76
1989	44290348.22
1990	44502709.91
1991	44787370.33
1992	44781964.11
1993	44669835.37
1994	44364863.83
1995	44055833.59
1996	43734569.4
1997	43440584.14
1998	43253784.2
1999	43187592.56
2000	43219593.13
2001	42737110
2002	42133390.32
2003	41090260.64
2004	40379034.78
2005	39449682.71
2006	38736734.16
2007	37744027.02
2008	36872235.15
2009	36175217.14
2010	35732256.56
2011	35124333.96
2012	34683246.07
2013	34068843.75
2014	33694652.6
2015	33441750.28
2016	33051340.47
2017	32784097.85
2018	32446795.12
2019	32572974.67
